,Unnamed: 0,Unnamed: 0.1,Movie,Distributor,WW_gross,Domestic_gross,Domestic_percentage,Intr_gross,Intr_percentage,Movie_link,movie,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Dist,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Genre,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,MpaaRating,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Peru,Philippines,Poland,Portugal,ProdBudget,Qatar,Romania,Runtime,Russia - CIS,Serbia & Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French-speaking),Switzerland (German-speaking),Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,Uruguay,UsDist,UsRelease,Venezuela,Vietnam,dummy,updatedGenre
0,0,0,Captain America: Civil War,BV,1151000000.0,406600000.0,35.3,744400000.0,64.7,/movies/?id=marvel2016.htm,marvel2016,9005829.0,25199942.0,2841356.0,,2484111.0,,40521418.0,516255.0,,,190429000.0,,,1459184.0,3078912.0,Disney,,,,,1427013.0,23204975.0,Action / Adventure,21754449.0,,,15472829.0,,337237.0,12094000.0,,12942297.0,24366759.0,,,,,136836.0,10685000.0,41420350.0,PG-13,4388326.0,3480235.0,,2518528.0,,,,14195000.0,2691473.0,1528426.0,250000000.0,,1162072.0,147.0,16556332.0,,8396857.0,486912.0,104910.0,2132347.0,62859896.0,11345535.0,3600887.0,3020845.0,752167.0,1793551.0,16397475.0,11956000.0,5051436.0,1429130.0,5954891.0,53776688.0,,Buena Vista,2016-05-06,1947286.0,,,Adventure
1,1,1,Zootopia,BV,1021700000.0,341100000.0,33.4,680600000.0,66.6,/movies/?id=disney2016.htm,disney2016,8745000.0,21364382.0,3735647.0,,4467463.0,909666.0,10657941.0,1010741.0,,4266919.0,235591000.0,5330391.0,283126.0,1415576.0,4008471.0,Disney,2494960.0,,393779.0,,1656196.0,31845430.0,Animation,33968995.0,,944722.0,7043370.0,1456306.0,313044.0,1699000.0,1653780.0,12705219.0,70127286.0,,,,167388.0,384768.0,3134000.0,17050000.0,PG,5798474.0,2662000.0,,2551192.0,94375.0,,4242507.0,1022000.0,5926835.0,2078512.0,,,1272421.0,108.0,32218703.0,143051.0,4370000.0,879904.0,188469.0,1494201.0,31258786.0,15148640.0,6886783.0,5061669.0,1655928.0,3303486.0,8850230.0,3523000.0,1379630.0,2116321.0,2057383.0,33903452.0,463743.0,Buena Vista,2016-03-04,1628000.0,,,Animation
2,2,2,The Jungle Book (2016),BV,936800000.0,360900000.0,38.5,575900000.0,61.5,/movies/?id=junglebook2015.htm,junglebook2015,9476772.0,22682590.0,2293515.0,,4629363.0,842959.0,10823625.0,767932.0,,1987035.0,150140000.0,2925475.0,45898.0,1262405.0,2835713.0,Disney,1349242.0,35456.0,42500.0,,1136934.0,27065352.0,1 hrs. 45 min.,19517990.0,,,3403921.0,509468.0,221304.0,38835000.0,412616.0,11927736.0,,,,,140199.0,102277.0,5685000.0,24351449.0,PG,10394798.0,3597815.0,,3529696.0,142477.0,,1461681.0,3536000.0,2503821.0,882767.0,175000000.0,,1766910.0,105.0,20348426.0,28626.0,3517370.0,347278.0,65174.0,2126980.0,18901624.0,19023100.0,7555641.0,3690796.0,1141721.0,2270210.0,2726000.0,5179000.0,1163056.0,1828028.0,9052232.0,66133514.0,188939.0,"April 15, 2016",,1515537.0,,,
3,3,3,Batman v Superman: Dawn of Justice,WB,872700000.0,330400000.0,37.9,542300000.0,62.1,/movies/?id=superman2015.htm,superman2015,7950785.0,22517365.0,2564737.0,,2685186.0,2138879.0,37566828.0,552918.0,170698.0,5181205.0,95769365.0,8149484.0,522416.0,1118646.0,2572539.0,WB,3781279.0,1501078.0,242623.0,,1324808.0,21319616.0,Action / Adventure,18918262.0,,2125858.0,8504499.0,1037694.0,283469.0,10736869.0,2612698.0,12098949.0,16531874.0,,,251315.0,843082.0,212708.0,7500064.0,36110611.0,PG-13,4181863.0,3269068.0,,3297349.0,475077.0,,4999649.0,11214492.0,2300823.0,2222072.0,250000000.0,,1556295.0,151.0,12683409.0,243971.0,5742914.0,499444.0,166343.0,2771587.0,16457193.0,11357442.0,3941571.0,,1029568.0,1754810.0,7238467.0,5388316.0,6543025.0,1279073.0,7028576.0,53128158.0,329922.0,Warner Bros.,2016-03-25,950317.0,2240920.0,,Adventure
4,4,4,Deadpool,Fox,782000000.0,363100000.0,46.4,419000000.0,53.6,/movies/?id=deadpool2016.htm,deadpool2016,4063355.0,33314499.0,3313917.0,641555.0,3808750.0,895288.0,20625097.0,640949.0,,4205061.0,,2888158.0,596958.0,2000459.0,4253416.0,Fox,1949590.0,147723.0,453545.0,17729.0,2985639.0,29058302.0,Action,24583395.0,,1450439.0,7967589.0,2129126.0,419007.0,2639117.0,2408246.0,8262758.0,18916494.0,,64096.0,107693.0,451784.0,388935.0,5292874.0,18653169.0,R,5424206.0,3621558.0,,4267159.0,362690.0,,2601217.0,6075224.0,3694972.0,2139522.0,58000000.0,709787.0,1628613.0,106.0,26002884.0,360912.0,4499140.0,771605.0,281197.0,2091880.0,23658636.0,11476701.0,5542328.0,,1216070.0,2724291.0,12471651.0,4282893.0,4985998.0,2087589.0,4089919.0,53538139.0,301763.0,Fox,2016-02-12,656126.0,1566065.0,,Action
5,5,5,Finding Dory,BV,721900000.0,445700000.0,61.7,276200000.0,38.3,/movies/?id=pixar2015.htm,pixar2015,12714950.0,34247757.0,,,2556600.0,,17133953.0,345169.0,,,38052302.0,7600000.0,,1682260.0,,Disney,,,,,,13603706.0,Animation,,,,,,281197.0,2695850.0,,,,,,,,,1867052.0,9569978.0,PG,5448690.0,4074710.0,,,,6800000.0,,4634257.0,2516805.0,1642983.0,,,524655.0,103.0,9080217.0,,3818079.0,1282485.0,120924.0,2768288.0,12620502.0,13213052.0,,742729.0,,,1889758.0,1421182.0,,763155.0,3393648.0,,,Buena Vista,2016-06-17,1999506.0,,,Animation
6,6,6,The Mermaid (Mei ren yu),Sony,553800000.0,3200000.0,0.6,550600000.0,99.4,/movies/?id=mermaid2016.htm,mermaid2016,,843885.0,,,,,,,,,526848189.0,,,,,Sony,,,,,,,Fantasy Drama,,,,7698235.0,,,,,,,,,,,,7025381.0,,R,,177911.0,,,,,,,,,,,,100.0,,,3110642.0,,,,,,,,,,,279960.0,,,,173553.0,,Sony / Columbia,2016-02-19,,4419787.0,,Drama
7,7,7,X-Men: Apocalypse,Fox,533900000.0,155000000.0,29.0,378900000.0,71.0,/movies/?id=x-men2016.htm,x-men2016,4055443.0,11392143.0,,,1690455.0,,20550478.0,313695.0,,1014806.0,120765095.0,1889547.0,,497023.0,,Fox,,,,,598082.0,16619329.0,Action / Adventure,9004793.0,,,6554697.0,,169795.0,5799126.0,,5810167.0,,,,,,123371.0,2871603.0,17807456.0,PG-13,2395785.0,1924905.0,,1054291.0,,,3278161.0,8914451.0,1082378.0,860452.0,178000000.0,,814356.0,143.0,11154528.0,,5865247.0,222598.0,54418.0,1039752.0,20642326.0,5328861.0,,,538012.0,939353.0,3771307.0,3153857.0,2467081.0,903314.0,3687678.0,24287465.0,,Fox,2016-05-27,,,,Adventure
8,8,8,Kung Fu Panda 3,Fox,519000000.0,143500000.0,27.7,375500000.0,72.3,/movies/?id=kungfupanda3.htm,kungfupanda3,4536174.0,9807545.0,1220923.0,435416.0,1732240.0,635833.0,6607390.0,476616.0,88488.0,2523491.0,154304371.0,3244709.0,351400.0,879348.0,3151584.0,Fox,1623556.0,,227230.0,10544.0,1346971.0,19366374.0,1 hrs. 35 min.,7029300.0,,873002.0,3531619.0,679576.0,156478.0,,1273945.0,9188861.0,,,,,292667.0,321712.0,3548516.0,15897655.0,PG,3027409.0,1463837.0,,2026269.0,288996.0,,3017302.0,,2756669.0,1258709.0,,514763.0,486818.0,95.0,13905351.0,162781.0,3759394.0,446033.0,359505.0,1292415.0,26388997.0,6805633.0,2224755.0,,979544.0,1697068.0,1654097.0,1257143.0,1475298.0,1140564.0,3452329.0,20321914.0,368339.0,"January 29, 2016",,712073.0,,,
9,9,9,Warcraft,Uni.,432200000.0,47000000.0,10.9,385200000.0,89.1,/movies/?id=warcraft.htm,warcraft,1602851.0,4787819.0,1635473.0,,1667914.0,357000.0,5877982.0,688101.0,,515702.0,220841090.0,1537000.0,241669.0,1731360.0,1927008.0,UPI,495000.0,264079.0,262533.0,,669075.0,14010129.0,Fantasy,15360079.0,,692512.0,2499362.0,1159039.0,154141.0,923000.0,657474.0,3880278.0,500000.0,,,240512.0,232045.0,187911.0,2534317.0,5580000.0,PG-13,2149679.0,753716.0,,1445679.0,,,1128174.0,2487000.0,2374152.0,648752.0,160000000.0,,1145003.0,123.0,22451000.0,400518.0,1740797.0,598686.0,137000.0,604645.0,8680273.0,6086398.0,3383727.0,1648614.0,497167.0,901078.0,4846142.0,2429000.0,2571467.0,1997345.0,2414685.0,8882000.0,32000.0,Universal,2016-06-10,98000.0,1385331.0,,Fantasy
10,10,10,Monster Hunt,FR,385300000.0,32800.0,0.0,385300000.0,100.0,/movies/?id=monsterhunt.htm,monsterhunt,,329979.0,,,,,,,,,381860000.0,,,,,-,,,,,,,Action Fantasy,,,,1451683.0,,,,,1138689.0,,,,,,,463727.0,,Unrated,,84293.0,,,,,,,,,,,,111.0,53549.0,,473420.0,,,,157839.0,,,,,,,70537.0,,6773.0,,,,FilmRise,2016-01-22,,300251.0,,Action
11,11,11,The Angry Birds Movie,Sony,341800000.0,106400000.0,31.1,235500000.0,68.9,/movies/?id=angrybirds.htm,angrybirds,4631960.0,6833583.0,1946179.0,,1687918.0,366631.0,7093091.0,820326.0,,2146949.0,75872971.0,1931421.0,423225.0,1007026.0,1843581.0,Sony,972762.0,152530.0,336288.0,,3488769.0,5729922.0,Animation,11683288.0,,775383.0,2150066.0,710418.0,117226.0,4125862.0,1201738.0,3186257.0,,,,356353.0,261512.0,498720.0,3295036.0,7016536.0,PG,4056141.0,840038.0,,1819475.0,,,3058141.0,1435371.0,4706743.0,1488324.0,73000000.0,,679408.0,97.0,11951761.0,206610.0,2028071.0,552123.0,272503.0,1361450.0,4508004.0,6064393.0,1935050.0,1926326.0,452356.0,1383684.0,1161588.0,1388091.0,1784078.0,1512945.0,2408950.0,14514655.0,279302.0,Sony / Columbia,2016-05-20,584860.0,2025984.0,,Animation
12,12,13,The Conjuring 2,WB (NL),301100000.0,101100000.0,33.6,200000000.0,66.4,/movies/?id=conjuring2.htm,conjuring2,9073444.0,8096663.0,,,,,16294128.0,65137.0,,1850000.0,,,,632295.0,,WB,,,,,582825.0,7095897.0,2 hrs. 14 min.,3500000.0,,,,,168583.0,9400000.0,,2505548.0,,,,,,199021.0,3900000.0,20425659.0,R,1910748.0,1565211.0,,2030588.0,,,,4200000.0,2406667.0,674823.0,40000000.0,,288400.0,134.0,4350257.0,,,373853.0,66497.0,534402.0,13815631.0,5891177.0,,,,131698.0,3700000.0,1499058.0,670682.0,184381.0,,13361246.0,,"June 10, 2016",,,,,
13,13,14,Alice Through the Looking Glass,BV,276700000.0,76300000.0,27.6,200400000.0,72.4,/movies/?id=alice2.htm,alice2,5267010.0,6387462.0,1175278.0,,1225033.0,,9020213.0,209682.0,,,58780778.0,,,719345.0,489451.0,Disney,,,,,672724.0,9055260.0,Family Adventure,8173985.0,,,2303430.0,,50523.0,,,7067642.0,12160944.0,,,,,96437.0,658262.0,13718470.0,PG,1669069.0,1008211.0,,577693.0,,,,624953.0,1917796.0,502119.0,170000000.0,,373295.0,112.0,9945068.0,,349973.0,272390.0,23438.0,476151.0,,5315543.0,1264899.0,1183333.0,361459.0,638959.0,1851041.0,,825658.0,1127067.0,,13888123.0,,Buena Vista,2016-05-27,769723.0,,,Adventure
