,Unnamed: 0,Unnamed: 0.1,Movie,Distributor,WW_gross,Domestic_gross,Domestic_percentage,Intr_gross,Intr_percentage,Movie_link,movie,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Curacao,Cyprus,Czech Republic,Denmark,Dist,Dominican Republic,East & West Africa,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Genre,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,MpaaRating,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,ProdBudget,Puerto Rico,Qatar,Romania,Runtime,Russia,Russia - CIS,Serbia & Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French-speaking),Switzerland (German-speaking),Switzerland (Italian-speaking),Taiwan,Thailand,Trinidad & Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,Uruguay,UsDist,UsRelease,Venezuela,Vietnam,West Indies,dummy,updatedGenre
0,0,0,Star Wars: The Force Awakens,BV,2068199999.9999998,936700000.0,45.3,1131600000.0,54.7,/movies/?id=starwars7.htm,starwars7,8684883.0,,67326713.0,9379428.0,,11033696.0,1868562.0,27811701.0,2347203.0,,,8463006.0,124159138.0,4766204.0,1245788.0,,,3879858.0,11987128.0,Disney,,,,3211683.0,153648.0,,,7879000.0,88527046.0,Sci-Fi Fantasy,111351219.0,,3406287.0,11082181.0,6515981.0,905627.0,4517344.0,,,3385097.0,28214141.0,,97862640.0,,285657.0,,424911.0,606176.0,563605.0,6628971.0,27191173.0,,PG-13,15659687.0,9859928.0,,8875245.0,49689.0,,6127657.0,8176268.0,16685439.0,3901908.0,245000000.0,,,3405655.0,136.0,,25952440.0,711089.0,7153662.0,1136741.0,578788.0,3206747.0,24142352.0,36296516.0,21346653.0,,4180648.0,7979279.0,,6464714.0,5946413.0,,,5820667.0,2509424.0,6052663.0,182474597.0,468960.0,Buena Vista,2015-12-18,5354283.0,895542.0,,,Sci-Fi Fantasy
1,1,1,Jurassic World,Uni.,1670400000.0,652300000.0,39.0,1018100000.0,61.0,/movies/?id=jurassicpark4.htm,jurassicpark4,15418925.0,,38978832.0,4672444.0,,8420048.0,1499245.0,29077565.0,804547.0,,,6077033.0,228740000.0,6000962.0,386000.0,,,2078897.0,1725562.0,UPI,,,,2777068.0,608315.0,420000.0,,,41284758.0,Sci-Fi Horror,48499739.0,,1326531.0,13142261.0,2051915.0,379266.0,22212557.0,,,2687729.0,16723119.0,,74593781.0,378419.0,207156.0,,314028.0,612643.0,275223.0,11517722.0,42105404.0,,PG-13,11120472.0,5100832.0,80725.0,5962622.0,51410.0,,4637964.0,11121208.0,3606364.0,2230384.0,150000000.0,,592514.0,1186733.0,124.0,,23420356.0,168402.0,8766526.0,790600.0,376237.0,3092598.0,42836759.0,24901213.0,8397157.0,2139577.0,2222567.0,4111999.0,,26732760.0,8216017.0,,,2633690.0,1807789.0,7818199.0,99669369.0,836947.0,Universal,2015-06-12,15076582.0,4400147.0,,,Horror
2,2,2,Furious 7,Uni.,1516000000.0,353000000.0,23.3,1163000000.0,76.7,/movies/?id=fast7.htm,fast7,10494030.0,,33888567.0,5557949.0,1535369.0,6547823.0,1928112.0,46606286.0,1566885.0,,,9659056.0,390910000.0,16255313.0,597337.0,,,1631060.0,4997554.0,UPI,,,1025309.0,6156860.0,2112766.0,586196.0,,2496317.0,31268799.0,Action,42761084.0,,2413734.0,7693270.0,1958035.0,277180.0,24714209.0,,,4057208.0,20797031.0,,30810953.0,1003999.0,502673.0,,490724.0,1778281.0,529939.0,15992077.0,51682039.0,,PG-13,9339976.0,5871673.0,520229.0,9588812.0,1109326.0,,7064638.0,9951971.0,5132943.0,5619159.0,190000000.0,,1895156.0,2710695.0,137.0,,34016389.0,285682.0,6814286.0,788371.0,704931.0,5884842.0,24037905.0,14868452.0,4579157.0,,1983825.0,5995066.0,,26301159.0,13210589.0,,,12411481.0,2006932.0,2317198.0,59927904.0,1318058.0,Universal,2015-04-03,19091734.0,7225225.0,,,Action
3,3,3,Avengers: Age of Ultron,BV,1405400000.0,459000000.0,32.7,946400000.0,67.3,/movies/?id=avengers2.htm,avengers2,9280502.0,,30969152.0,4086924.0,562690.0,3313943.0,2278266.0,47862465.0,645121.0,,,6942365.0,240110000.0,9955023.0,348389.0,,,2011520.0,4578163.0,Disney,,,,5590716.0,1218558.0,261445.0,,1338700.0,34270887.0,Action / Adventure,31193932.0,,1776109.0,17155906.0,1980532.0,371887.0,16695001.0,,,2021296.0,18120047.0,,26373434.0,361851.0,317574.0,,195571.0,542714.0,176271.0,13390227.0,50940433.0,,PG-13,5465221.0,4809004.0,273301.0,4770579.0,359221.0,,7025935.0,14097441.0,3967269.0,1841706.0,250000000.0,,,1137226.0,141.0,,34319424.0,190746.0,9904467.0,588510.0,122335.0,3276734.0,78286828.0,13640131.0,5240559.0,,1307885.0,2717245.0,,18417745.0,8850822.0,,,5864977.0,1909793.0,3166819.0,76623201.0,458022.0,Buena Vista,2015-05-01,18531156.0,5259089.0,,,Action
4,4,4,Minions,Uni.,1159400000.0,336000000.0,29.0,823400000.0,71.0,/movies/?id=minions.htm,minions,36154412.0,,23451902.0,7056436.0,,8872257.0,1403340.0,37452980.0,1235559.0,,,10244790.0,68490000.0,9044785.0,885351.0,,,4268223.0,5362111.0,UPI,,,,3407260.0,185991.0,758785.0,,4553405.0,43991439.0,1 hrs. 31 min.,63194771.0,1723738.0,2125147.0,10765995.0,3493481.0,424422.0,2617696.0,,,5570204.0,26388026.0,,42726353.0,692283.0,77586.0,,834956.0,1046107.0,1256074.0,4992809.0,43910109.0,,PG,14390692.0,4082606.0,36747.0,5343055.0,327.0,,5872891.0,6503404.0,7979690.0,5280832.0,74000000.0,,,2085044.0,91.0,,30015860.0,464221.0,5214884.0,2077642.0,149788.0,3378329.0,15354584.0,26857553.0,7380925.0,2151274.0,2973388.0,7020138.0,,10267334.0,3329352.0,,,4053515.0,2046677.0,4628667.0,72674232.0,1696276.0,"July 10, 2015",,27015386.0,4112942.0,,,
5,5,5,Spectre,Sony,880700000.0,200100000.0,22.7,680600000.0,77.3,/movies/?id=bond24.htm,bond24,2242749.0,,25373937.0,8141137.0,,7899617.0,242051.0,8266418.0,7235.0,,,970358.0,83509789.0,1926524.0,1014459.0,,,2391129.0,14213968.0,Sony,,,,790731.0,267637.0,633467.0,16126.0,9260527.0,39509522.0,Action,72716675.0,61329.0,3700102.0,5631130.0,1333699.0,516267.0,8350274.0,,,2732288.0,13609170.0,,24231095.0,,326291.0,,487808.0,1090642.0,415692.0,5361057.0,11604067.0,,PG-13,22118230.0,3970646.0,477173.0,9657486.0,101724.0,,927412.0,3202807.0,8969943.0,2801686.0,245000000.0,,,1499723.0,148.0,,11584933.0,431644.0,4598137.0,943815.0,535765.0,2669309.0,12053239.0,8068096.0,13259877.0,,3399713.0,13165256.0,,5666876.0,4364330.0,,,2821829.0,1507671.0,6058268.0,135461629.0,138455.0,Sony / Columbia,2015-11-06,4765612.0,2015288.0,,,Action
6,6,6,Inside Out,BV,857400000.0,356500000.0,41.6,501000000.0,58.4,/movies/?id=pixar2014.htm,pixar2014,19302798.0,,23400000.0,3235313.0,,4122122.0,1000127.0,13938297.0,611843.0,,,7434521.0,15314000.0,6271904.0,166701.0,,,1443200.0,5987853.0,Disney,,,,2810893.0,,347328.0,,2966560.0,28600000.0,1 hrs. 34 min.,31631570.0,1962030.0,2171934.0,8705336.0,1218401.0,261317.0,1418502.0,,,4902207.0,27140214.0,,32500000.0,222210.0,64264.0,,284641.0,371175.0,385291.0,1962943.0,31100000.0,,PG,5732893.0,3339160.0,12782.0,3275025.0,3713.0,,3783213.0,3844357.0,4333680.0,2527217.0,175000000.0,,,768399.0,94.0,,16710083.0,129401.0,3886185.0,680810.0,139070.0,1545611.0,33579010.0,24035511.0,5411716.0,1103827.0,1342373.0,2386538.0,,4748147.0,1648978.0,,,1526853.0,997671.0,2094962.0,59436933.0,970095.0,"June 19, 2015",,25432065.0,1094098.0,,,
7,7,7,Mission: Impossible - Rogue Nation,Par.,682300000.0,195000000.0,28.6,487300000.0,71.4,/movies/?id=mi5.htm,mi5,3158317.0,,11288400.0,2814451.0,,2475240.0,285424.0,9879051.0,507567.0,,,962750.0,135653541.0,2627276.0,230641.0,,,551962.0,2370321.0,UIP,,,,1316436.0,,215854.0,,1343182.0,21375577.0,Action,13266429.0,,990555.0,7234910.0,948600.0,262495.0,11282756.0,,,2353664.0,6135467.0,,42091079.0,534668.0,172660.0,,172463.0,1017689.0,116358.0,5951143.0,12053845.0,,PG-13,4300210.0,1787746.0,42491.0,2703551.0,1514.0,,1812631.0,4692747.0,1401093.0,2250675.0,150000000.0,,,856156.0,130.0,,9940870.0,117573.0,53055712.0,265680.0,35799.0,1377105.0,41600001.0,7003510.0,3252961.0,,1040843.0,2012728.0,,12684678.0,3889881.0,,,2850019.0,993845.0,6222777.0,31936699.0,154439.0,Paramount,2015-07-31,5407042.0,2052025.0,,,Action
8,8,8,The Hunger Games: Mockingjay - Part 2,LGF,653400000.0,281700000.0,43.1,371700000.0,56.9,/movies/?id=hungergames4.htm,hungergames4,7120666.0,,21422262.0,4687255.0,,5491229.0,559857.0,16890579.0,623324.0,,,3257066.0,21525450.0,36089121.0,302776.0,,,1105378.0,4312473.0,-,,,,1554178.0,,157265.0,,2077464.0,22412209.0,Action / Adventure,43707200.0,,825819.0,3609955.0,1243577.0,278340.0,127692.0,,,,8884254.0,,1225393.0,,66867.0,,229831.0,349900.0,287487.0,2860579.0,20156285.0,,PG-13,8236243.0,3358468.0,32584.0,3872412.0,32634.0,,2627529.0,4611304.0,2858097.0,1992365.0,160000000.0,,,1056984.0,137.0,,10161646.0,85525.0,3157813.0,597236.0,164862.0,1393066.0,5083416.0,13078559.0,7519932.0,,1133394.0,4450085.0,,4338405.0,2712859.0,,,3236977.0,876969.0,2690409.0,43154684.0,361541.0,Lionsgate,2015-11-20,9477940.0,824566.0,,,Action
9,9,9,The Martian,Fox,630200000.0,228400000.0,36.2,401700000.0,63.8,/movies/?id=scott2016.htm,scott2016,2521251.0,,19601155.0,1950707.0,430063.0,3015771.0,165002.0,7513748.0,482577.0,,405642.0,1601936.0,94932731.0,1332885.0,378608.0,,,1692105.0,2741163.0,Fox,,,,647961.0,,434235.0,7710.0,1652611.0,19827502.0,Sci-Fi,16288605.0,531361.0,730032.0,5800790.0,1438744.0,208735.0,4361823.0,,,1803695.0,7683880.0,,26943966.0,,61257.0,,241030.0,425526.0,418769.0,1940583.0,7759156.0,,PG-13,3784584.0,2651690.0,64657.0,2959468.0,300511.0,,1517516.0,1482431.0,2770676.0,1023508.0,108000000.0,370492.0,497491.0,1109125.0,141.0,,17706103.0,279145.0,2974435.0,426452.0,158817.0,536967.0,32104850.0,12629290.0,4971913.0,,1415711.0,2377554.0,,5623332.0,1675663.0,,,2716217.0,1547429.0,3338808.0,33937841.0,113731.0,Fox,2015-10-02,3441610.0,361435.0,,,Sci-Fi
