,Movie,Distributor,WW_gross,Domestic_gross,Domestic_percentage,Intr_gross,Intr_percentage,Movie_link
0,Captain America: Civil War,BV,"$1,151.0",$406.6,35.3%,$744.4,64.7%,/movies/?id=marvel2016.htm
1,Zootopia,BV,"$1,021.7",$341.1,33.4%,$680.6,66.6%,/movies/?id=disney2016.htm
2,The Jungle Book (2016),BV,$936.8,$360.9,38.5%,$575.9,61.5%,/movies/?id=junglebook2015.htm
3,Batman v Superman: Dawn of Justice,WB,$872.7,$330.4,37.9%,$542.3,62.1%,/movies/?id=superman2015.htm
4,Deadpool,Fox,$782.0,$363.1,46.4%,$419.0,53.6%,/movies/?id=deadpool2016.htm
5,Finding Dory,BV,$721.9,$445.7,61.7%,$276.2,38.3%,/movies/?id=pixar2015.htm
6,The Mermaid (Mei ren yu),Sony,$553.8,$3.2,0.6%,$550.6,99.4%,/movies/?id=mermaid2016.htm
7,X-Men: Apocalypse,Fox,$533.9,$155.0,29.0%,$378.9,71.0%,/movies/?id=x-men2016.htm
8,Kung Fu Panda 3,Fox,$519.0,$143.5,27.7%,$375.5,72.3%,/movies/?id=kungfupanda3.htm
9,Warcraft,Uni.,$432.2,$47.0,10.9%,$385.2,89.1%,/movies/?id=warcraft.htm
10,Monster Hunt,FR,$385.3,$32.8k,0.0%,$385.3,100.0%,/movies/?id=monsterhunt.htm
11,The Angry Birds Movie,Sony,$341.8,$106.4,31.1%,$235.5,68.9%,/movies/?id=angrybirds.htm
12,Independence Day: Resurgence,Fox,$337.8,$98.6,29.2%,$239.2,70.8%,/movies/?id=id42.htm
13,The Conjuring 2,WB (NL),$301.1,$101.1,33.6%,$200.0,66.4%,/movies/?id=conjuring2.htm
14,Alice Through the Looking Glass,BV,$276.7,$76.3,27.6%,$200.4,72.4%,/movies/?id=alice2.htm
15,Now You See Me 2,LG/S,$267.2,$63.5,23.8%,$203.7,76.2%,/movies/?id=nowyouseeme2.htm
16,The Secret Life of Pets,Uni.,$254.3,$203.4,80.0%,$50.9,20.0%,/movies/?id=illumination2015.htm
17,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,$231.1,$80.8,35.0%,$150.3,65.0%,/movies/?id=tmnt2016.htm
18,London Has Fallen,Focus,$195.7,$62.5,31.9%,$133.2,68.1%,/movies/?id=londonhasfallen.htm
19,The Legend of Tarzan,WB,$194.0,$103.4,53.3%,$90.6,46.7%,/movies/?id=tarzan2016.htm
20,The Monkey King 2 in 3D,CL,$193.7,$710k,0.4%,$193.0,99.6%,/movies/?id=monkeyking2.htm
21,Central Intelligence,WB (NL),$180.6,$117.6,65.1%,$63.1,34.9%,/movies/?id=centralintelligence.htm
22,The Divergent Series: Allegiant,LG/S,$179.2,$66.2,36.9%,$113.1,63.1%,/movies/?id=allegiant.htm
23,Me Before You,WB (NL),$171.9,$55.3,32.2%,$116.6,67.8%,/movies/?id=mebeforeyou.htm
24,The Huntsman: Winter's War,Uni.,$164.6,$48.0,29.2%,$116.6,70.8%,/movies/?id=huntsman.htm
25,Ip Man 3,WGUSA,$156.8,$2.7,1.7%,$154.2,98.3%,/movies/?id=ipman3.htm
26,Gods of Egypt,LG/S,$145.2,$31.2,21.4%,$114.1,78.6%,/movies/?id=godsofegypt.htm
27,Ice Age: Collision Course,Fox,$127.0,n/a,0.0%,$127.0,100.0%,/movies/?id=iceage5.htm
28,Detective Chinatown (Tang ren jie tan an),CL,$125.8,$474k,0.4%,$125.4,99.6%,/movies/?id=detectivechinatown.htm
29,Ride Along 2,Uni.,$124.2,$90.9,73.1%,$33.4,26.9%,/movies/?id=ridealong2.htm
30,How to Be Single,WB,$112.1,$46.8,41.8%,$65.3,58.2%,/movies/?id=howtobesingle.htm
31,The 5th Wave,Sony,$109.9,$34.9,31.8%,$75.0,68.2%,/movies/?id=5thwave.htm
32,10 Cloverfield Lane,Par.,$108.3,$72.1,66.6%,$36.2,33.4%,/movies/?id=badrobot2016.htm
33,Neighbors 2: Sorority Rising,Uni.,$106.3,$55.3,52.0%,$51.0,48.0%,/movies/?id=universalcomedy2016.htm
34,The Little Prince,EOne,$97.6,$1.3,1.4%,$96.2,98.6%,/movies/?id=thelittleprince.htm
35,Dirty Grandpa,LGF,$94.1,$35.6,37.8%,$58.5,62.2%,/movies/?id=dirtygrandpa.htm
36,Money Monster,TriS,$89.5,$41.0,45.7%,$48.6,54.3%,/movies/?id=moneymonster.htm
37,My Big Fat Greek Wedding 2,Uni.,$88.9,$59.7,67.1%,$29.2,32.9%,/movies/?id=mybigfatgreekwedding2.htm
38,The Boss,Uni.,$78.6,$63.1,80.2%,$15.6,19.8%,/movies/?id=michelledarnell.htm
39,The Purge: Election Year,Uni.,$78.2,$71.1,90.9%,$7.1,9.1%,/movies/?id=purge3.htm
40,Miracles from Heaven,TriS,$73.6,$61.7,83.9%,$11.9,16.1%,/movies/?id=miraclesfromheaven.htm
41,13 Hours: The Secret Soldiers of Benghazi,Par.,$69.4,$52.9,76.1%,$16.6,23.9%,/movies/?id=13hoursthesecretsoldiersofbenghazi.htm
